Schleuse,km,Straáe,PLZ,Ort,Koordinaten,Funkkanal,Telefon,Telefax,Telefon 2,Betriebsart,WSA
Kostheim,"3,2",Auf dem Maindamm,65462,Ginsheim-Gustavsburg,"49ø 59.957' N
8ø 20.058' E",20,696786887110,696786887122,nicht angegeben,fernbedient,WSA Main
Kostheim Bootsschleuse,"3,2",Auf dem Maindamm,65462,Ginsheim-Gustavsburg,"49ø 59.957' N
8ø 20.058' E",20,696786887110,696786887122,nicht angegeben,selbstbedient,WSA Main
Kostheim Nordschleuse Nordkammer,"3,2",Auf dem Maindamm,65462,Ginsheim-Gustavsburg,"49ø 59.957' N
8ø 20.058' E",20,696786887110,696786887122,nicht angegeben,fernbedient,WSA Main
Kostheim Nordschleuse obere Kammer,"3,2",Auf dem Maindamm,65462,Ginsheim-Gustavsburg,"49ø 59.957' N
8ø 20.058' E",20,696786887110,696786887122,nicht angegeben,fernbedient,WSA Main
Kostheim Nordschleuse untere Kammer,"3,2",Auf dem Maindamm,65462,Ginsheim-Gustavsburg,"49ø 59.957' N
8ø 20.058' E",20,696786887110,696786887122,nicht angegeben,fernbedient,WSA Main
Kostheim Sdschleuse Sdkammer,"3,2",Auf dem Maindamm,65462,Ginsheim-Gustavsburg,"49ø 59.957' N
8ø 20.058' E",20,696786887110,696786887122,nicht angegeben,fernbedient,WSA Main
Eddersheim,"15,6",Auáerhalb 100,65451,Kelsterbach,"50ø 2.326' N
8ø 28.640' E",78,696786887210,696786887222,nicht angegeben,fernbedient,WSA Main
Eddersheim Bootsschleuse,"15,6",Auáerhalb 100,65451,Kelsterbach,"50ø 2.326' N
8ø 28.640' E",78,696786887210,696786887222,nicht angegeben,selbstbedient,WSA Main
Eddersheim Nordschleuse Nordkammer,"15,6",Auáerhalb 100,65451,Kelsterbach,"50ø 2.326' N
8ø 28.640' E",78,696786887210,696786887222,nicht angegeben,fernbedient,WSA Main
Eddersheim Nordschleuse obere Kammer,"15,6",Auáerhalb 100,65451,Kelsterbach,"50ø 2.326' N
8ø 28.640' E",78,696786887210,696786887222,nicht angegeben,fernbedient,WSA Main
Eddersheim Nordschleuse untere Kammer,"15,6",Auáerhalb 100,65451,Kelsterbach,"50ø 2.326' N
8ø 28.640' E",78,696786887210,696786887222,nicht angegeben,fernbedient,WSA Main
Eddersheim Sdschleuse obere Kammer,"15,6",Auáerhalb 100,65451,Kelsterbach,"50ø 2.326' N
8ø 28.640' E",78,696786887210,696786887222,nicht angegeben,fernbedient,WSA Main
Eddersheim Sdschleuse Sdkammer,"15,6",Auáerhalb 100,65451,Kelsterbach,"50ø 2.326' N
8ø 28.640' E",78,696786887210,696786887222,nicht angegeben,fernbedient,WSA Main
Eddersheim Sdschleuse untere Kammer,"15,6",Auáerhalb 100,65451,Kelsterbach,"50ø 2.326' N
8ø 28.640' E",78,696786887210,696786887222,nicht angegeben,fernbedient,WSA Main
